=== local docker images from vouch builds (FROM scratch + GAR-tagged) ===
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603141249-r260603141252/vouch:c260603141249-r260603141252 d1619b664979 2.26kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603141249-r260603141252/about:c260603141249-r260603141252 932cba4af8fe 4.85MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603141249-r260603141252/image:c260603141249-r260603141252 fe437eba7cf2 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603134154-r260603134156/vouch:c260603134154-r260603134156 94dd5e9c7714 2.14kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603134154-r260603134156/about:c260603134154-r260603134156 f5144a83b98c 15.6MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603134154-r260603134156/image:c260603134154-r260603134156 2b4f8362ef10 654MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603134154-r260603134156/pouch:c260603134154-r260603134156 ded217c0e06d 7.11kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603133211-r260603133214/vouch:c260603133211-r260603133214 2b2273536b58 2.13kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603133211-r260603133214/about:c260603133211-r260603133214 db57d45b437a 3.64MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603133211-r260603133214/image:c260603133211-r260603133214 f3bdf8f3ce18 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/b260529161822-r260529161833/vouch:b260529161822-r260529161833 86baf334e8f1 526B
